Name,Type,Location,Country
Jianqiao Airfield ,Airfield ,"Hangzhou, Zhejiang ",China 
Kagi Airfield ,Airfield ,"Kagi, Tainan ",Taiwan 
Kahili Airfield ,Airfield ,"Buin, Bougainville ",British Western Pacific Territories 
Kahului Naval Air Station ,Airfield ,"Kahului, Maui ",Hawaii 
Kaifeng Airfield ,Airfield ,"Kaifeng, Henan ",China 
Kaneohe Naval Air Station ,Airfield ,"Kaneohe, Oahu ",Hawaii 
Karachi Airfield ,Airfield ,"Karachi, Sindh ",India 
Karenko Airfield ,Airfield ,"Karenko, Karenko ",Taiwan 
Kaufering Concentration Camp ,Prison Camp ,"Kaufering, Mƒnchen-Oberbayern ",Germany 
Keijo General Government Building ,Government Building ,Keijo ,Korea 
Koryu Airfield ,Airfield ,Shinchiku ,Taiwan 
Koshun Airfield ,Airfield ,"Hengchun, Takao ",Taiwan 
Kremlin and Red Square ,Government Building ,"Moscow, Moscow ",Russia 
Kriegsmarinewerft ,Shipyard ,"Wilhelmshaven, Weser-Ems ",Germany 
Kunming Airfield ,Airfield ,"Kunming, Yunnan ",China 
Kure Naval Arsenal ,Shipyard ,"Kure, Hiroshima ",Japan 
La Coupole ,Other ,"Wizernes, Nord-Pas-de-Calais ",France 
Laohwangping Airfield ,Airfield ,"Jiuzhouzhen, Guizhou ",China 
Lashio Airfield ,Airfield ,Lashio ,Burma 
Lefortovo Prison ,Prison Camp ,"Moscow, Moscow ",Russia 
Leiyun CAMCO Factory ,Factory ,"Leiyun, Yunnan ",China 
Leningrad Kirov Factory ,Factory ,"Leningrad, Leningrad ",Russia 
Leningrad Obukhov Factory ,Factory ,"Leningrad, Leningrad ",Russia 
Liangshan Airfield ,Airfield ,Chongqing ,China 
Lichterfelde Barracks ,Army Base ,Berlin ,Germany 
Lindenau ,Shipyard ,Memel ,Lithuania 
Liuzhou Airfield ,Airfield ,"Liuzhou, Guangxi ",China 
Longhua Civilian Assembly Center ,Prison Camp ,Shanghai ,China 
Loping Airfield ,Airfield ,"Jiexiangxiang, Yunnan ",China 
Losey Field ,Airfield ,Juana Dƒ­az ,Puerto Rico 
Lubecker FlenderWerke AG ,Shipyard ,"Lubeck, Schleswig-Holstein ",Germany 
Lubecker Schiff- und Maschinenbau AG ,Shipyard ,"Lubeck, Schleswig-Holstein ",Germany 
Lubyanka Building ,"Government Building, Prison Camp ","Moscow, Moscow ",Russia 
Luftfahrtforschungsanstalt ,Other ,"Vƒ¶lkenrode, Sƒd-Hannover-Braunschweig ",Germany 
Luliang Airfield ,Airfield ,"Luliang, Yunnan ",China 
Maginot Line ,Fortification , ,France 
Maizuru Naval Arsenal ,Shipyard ,"Maizuru, Kyoto ",Japan 
Majdanek Concentration Camp ,Prison Camp ,"Lublin, Lublin ",Poland 
Mako Guard District ,Naval Port ,"Mako, Hoko ",Taiwan 
Malinta Tunnel ,Army Base ,"Corregidor, Cavite ",Philippines 
Manzanar War Relocation Center ,Prison Camp ,"Manzanar, California ",United States 
Mare Island Navy Yard ,Shipyard ,"Vallejo, California ",United States 
Marlag und Milag Nord ,Prison Camp ,"Westertimke, Weser-Ems ",Germany 
Matsuyama Airfield ,Airfield ,"Taihoku, Taihoku ",Taiwan 
Mauthausen-Gusen Concentration Camp ,Prison Camp ,"Mauthausen, Oberdonau ",Austria 
Merville Gun Battery ,Fortification ,"Merville, Basse-Normandie ",France 
Midway Bases ,"Airfield, Naval Port ",Midway ,US Pacific Islands 
Mitsubishi Nagasaki Shipyard ,Shipyard ,"Nagasaki, Nagasaki ",Japan 
Mƒ¶hnesee Dam ,Other ,"Soest, Westfalen-Sƒd ",Germany 
Nadzab Airfield ,Airfield ,Nadzab ,Australian New Guinea 
Nanning Airfield ,Airfield ,"Nanning, Guangxi ",China 
Nanyuan Airfield ,Airfield ,Beiping ,China 
Nanzheng Airfield ,Airfield ,"Nanzheng, Shaanxi ",China 
Neptun Schiffswerft und Maschinenfabrik Gmbh ,Shipyard ,"Rostock, Mecklenburg ",Germany 
New York Navy Yard ,Shipyard ,"Brooklyn, New York ",United States 
Newport News Shipbuilding ,Shipyard ,"Newport News, Virginia ",United States 
Nordseewerke Emden ,Shipyard ,"Emden, Weser-Ems ",Germany 
Norfolk Navy Yard ,Shipyard ,"Portsmouth, Virginia ",United States 
Oderwerke AG ,Shipyard ,"Stettin, Pommern ",Germany 
Okayama Aircraft Factory ,"Airfield, Factory ","Takao, Takao ",Taiwan 
Old Buckenham Airfield ,Airfield ,"Old Buckenham, England ",United Kingdom 
Oranienburg Concentration Camp ,Prison Camp ,"Oranienburg, Mark Brandenburg ",Germany 
Ostashkov Special Camp ,Prison Camp ,"Ostashkov, Tver ",Russia 
Panama Canal ,Other , ,Panama Canal Zone 
Pearl Harbor Navy Base and Ford Island Naval Air Station ,"Airfield, Naval Port, Shipyard ","Honolulu, Oahu ",Hawaii 
Peenemƒnde Army Research Center ,Other ,"Peenemƒnde, Pommern ",Germany 
Pentagon ,Military Headquarters ,"Arlington, Virginia ",United States 
Petrozavodsk Concentration Camp ,Prison Camp ,"Petrozavodsk, Karelia ",Russia 
Philadelphia Navy Yard ,"Factory, Shipyard ","Philadelphia, Pennsylvania ",United States 
Plzen Skoda Works Complex ,Factory ,"Plzen, Plzen ",Czechoslovakia 
Puget Sound Navy Yard ,Shipyard ,"Bremerton, Washington ",United States 
Pungchacheng Airfield ,Airfield ,"Quzhou, Zhejiang ",China 
Pyeongtaek Airfield ,Airfield ,"Pyeongtaek, Gyeonggi ",Korea 
Quantico Marine Corps Base ,Fortification ,"Quantico, Virginia ",United States 
RAF Hal Far ,Airfield ,Hal Far ,Malta 
RAF Luqa ,Airfield ,Luqa ,Malta 
RAF Newchurch ,Airfield ,"Newchurch, England ",United Kingdom 
RAF Takali ,Airfield ,Ta' Qali ,Malta 
RAF Woodhall Spa ,Airfield ,"Woodhall Spa, England ",United Kingdom 
Ramgarh Training Center ,Army Base ,"Ramgarh, Bihar ",India 
Ravensbrƒck Concentration Camp ,Prison Camp ,"Ravensbrƒck, Mark Brandenburg ",Germany 
Reich Chancellery ,Government Building ,Berlin ,Germany 
Reichstag Building and Kroll Opera House ,Government Building ,Berlin ,Germany 
Reigaryo Airfield ,Airfield ,"Takao, Takao ",Taiwan 
Reiherstieg-Schiffswerft und Maschinenfabrik ,Shipyard ,Hamburg ,Germany 
Rickmers ,Shipyard ,"Bremerhaven, Weser-Ems ",Germany 
ROF Chorley ,Factory ,"Euxton, England ",United Kingdom 
Roosevelt Roads Naval Base ,Naval Port ,Ceiba ,Puerto Rico 
Ryojun Guard District ,Naval Port ,"Lushunkou, Liaoning ",China 
Sachsenhausen Concentration Camp ,Prison Camp ,"Oranienburg, Mark Brandenburg ",Germany 
Saidor Airfield ,Airfield ,Saidor ,Australian New Guinea 
Sasebo Naval Arsenal ,Shipyard ,"Sasebo, Nagasaki ",Japan 
Scapa Flow ,Naval Port ,"Scapa Flow, Scotland ",United Kingdom 
Schiffbau Gesellschaft Unterweser Gmbh ,Shipyard ,"Bremerhaven, Weser-Ems ",Germany 
SchloƒŸ Wewelsburg ,Other ,"Bƒren, Westfalen ",Germany 
Schofield Barracks ,Army Base ,"Schofield, Oahu ",Hawaii 
Schweinfurt Ball Bearing Factories ,Factory ,"Schweinfurt, Mainfranken ",Germany 
Seebeckwerft ,Shipyard ,"Bremerhaven, Weser-Ems ",Germany 
Sembawang Bases ,"Airfield, Army Base, Naval Port, Shipyard ","Sembawang, Singapore ",Singapore 
Shinchiku Airfield ,Airfield ,"Shinchiku, Shinchiku ",Taiwan 
Shoka Airfield ,Airfield ,"Shoka, Taichu ",Taiwan 
Shuangliu Airfield ,Airfield ,"Chengdu, Sichuan ",China 
Sobibƒ³r Concentration Camp ,Prison Camp ,"Sobibƒ³r, Lublin ",Poland 
Soton Airfield ,Airfield ,"Soton, Taichu ",Taiwan 
St. Croix Airfield ,Airfield ,St. Croix ,US Virgin Islands 
Stalingrad Tractor Factory ,Factory ,"Stalingrad, Stalingrad ",Russia 
Stanley Prison and St Stephen's College ,Prison Camp , ,Hong Kong 
Suichuan Airfield ,Airfield ,"Suichuan, Jiangxi ",China 
Taichu Airfield ,Airfield ,"Taichu, Taichu ",Taiwan 
Taichu West Airfield ,Airfield ,"Taichu, Taichu ",Taiwan 
Taihoku General Government Building ,Government Building ,"Taihoku, Taihoku ",Taiwan 
Taihoku Prison ,Prison Camp ,"Taihoku, Taihoku ",Taiwan 
Taihoku Prisoner of War Camp No 6 ,Prison Camp ,"Taihoku, Taihoku ",Taiwan 
Takao Guard District ,Naval Port ,"Takao, Takao ",Taiwan 
Takao Seaplane Base ,Airfield ,"Takao, Takao ",Taiwan 
Tamsui Seaplane Base ,Airfield ,"Tamsui, Taihoku ",Taiwan 
Tecklenborg Werft ,Shipyard ,Bremerhaven ,Germany 
Theresienstadt Concentration Camp ,Prison Camp ,"Terezƒ­n, Cechy ",Czechoslovakia 
Tianhe Airfield ,Airfield ,"Guangzhou, Guangdong ",China 
Toronto Inglis Factory ,Factory ,"Toronto, Ontario ",Canada 
Toulon Military Port ,Naval Port ,"Toulon, Provence-Alpes-Cƒ´te d'Azur ",France 
Treblinka Concentration Camp ,Prison Camp ,"Treblinka, Masovian ",Poland 
Uralmash ,Factory ,"Sverdlovsk, Sverdlovsk ",Russia 
Vega Baja Auxiliary Airdrome ,Airfield ,Vega Baja ,Puerto Rico 
Vemork Heavy Water Plant ,Factory ,"Tinn, Telemark ",Norway 
Vladivostok Naval Base , ,"Vladivostok, Primorsky Krai ",Russia 
Vorkuta Forced Labor Camp ,Prison Camp ,"Vorkuta, Komi ",Russia 
Washington Navy Yard ,"Factory, Shipyard ",Washington ,United States 
Wauwilermoos Military Prison ,Prison Camp ,"Egolzwil, Lucerne ",Switzerland 
Weixian Internment Camp ,Prison Camp ,"Wei, Shandong ",China 
Westerbork Concentration Camp ,Prison Camp ,"Hooghalen, Drenthe ",Netherlands 
Wheeler Field ,Airfield ,"Honolulu, Oahu ",Hawaii 
White House ,Government Building ,Washington ,United States 
Xi'an Airfield ,Airfield ,"Xi'an, Shaanxi ",China 
Xiangyun Airfield ,Airfield ,"Xiangyun, Yunnan ",China 
Xinjin Airfield ,Airfield ,"Chengdu, Sichuan ",China 
Yangkai Airfield ,Airfield ,"Yangjiacun, Yunnan ",China 
Yokosuka Naval Arsenal ,Shipyard ,"Yokosuka, Kanagawa ",Japan 
Yongsan Base ,Army Base ,Keijo ,Korea 
Yontan Airfield ,Airfield ,"Yomitan, Okinawa ",Japan 
Zhanyi Airfield ,Airfield ,"Zhanyi, Yunnan ",China 
Zhijiang Airfield ,Airfield ,"Zhijiang, Hunan ",China 
Zossen ,Military Headquarters ,"Wƒnsdorf, Mark Brandenburg ",Germany 
10 Downing Street ,Government Building ,"London, England ",United Kingdom 
